model,run
ACCESS-CM2,r10i1p1f1
ACCESS-CM2,r1i1p1f1
ACCESS-CM2,r2i1p1f1
ACCESS-CM2,r3i1p1f1
ACCESS-CM2,r4i1p1f1
ACCESS-CM2,r5i1p1f1
ACCESS-CM2,r6i1p1f1
ACCESS-CM2,r7i1p1f1
ACCESS-CM2,r8i1p1f1
ACCESS-CM2,r9i1p1f1
ACCESS-ESM1-5,r10i1p1f1
ACCESS-ESM1-5,r11i1p1f1
ACCESS-ESM1-5,r12i1p1f1
ACCESS-ESM1-5,r13i1p1f1
ACCESS-ESM1-5,r14i1p1f1
ACCESS-ESM1-5,r15i1p1f1
ACCESS-ESM1-5,r16i1p1f1
ACCESS-ESM1-5,r17i1p1f1
ACCESS-ESM1-5,r18i1p1f1
ACCESS-ESM1-5,r19i1p1f1
ACCESS-ESM1-5,r1i1p1f1
ACCESS-ESM1-5,r20i1p1f1
ACCESS-ESM1-5,r21i1p1f1
ACCESS-ESM1-5,r22i1p1f1
ACCESS-ESM1-5,r23i1p1f1
ACCESS-ESM1-5,r24i1p1f1
ACCESS-ESM1-5,r25i1p1f1
ACCESS-ESM1-5,r26i1p1f1
ACCESS-ESM1-5,r27i1p1f1
ACCESS-ESM1-5,r28i1p1f1
ACCESS-ESM1-5,r29i1p1f1
ACCESS-ESM1-5,r2i1p1f1
ACCESS-ESM1-5,r30i1p1f1
ACCESS-ESM1-5,r31i1p1f1
ACCESS-ESM1-5,r32i1p1f1
ACCESS-ESM1-5,r33i1p1f1
ACCESS-ESM1-5,r34i1p1f1
ACCESS-ESM1-5,r35i1p1f1
ACCESS-ESM1-5,r36i1p1f1
ACCESS-ESM1-5,r37i1p1f1
ACCESS-ESM1-5,r38i1p1f1
ACCESS-ESM1-5,r39i1p1f1
ACCESS-ESM1-5,r3i1p1f1
ACCESS-ESM1-5,r40i1p1f1
ACCESS-ESM1-5,r4i1p1f1
ACCESS-ESM1-5,r5i1p1f1
ACCESS-ESM1-5,r6i1p1f1
ACCESS-ESM1-5,r7i1p1f1
ACCESS-ESM1-5,r8i1p1f1
ACCESS-ESM1-5,r9i1p1f1
AWI-CM-1-1-MR,r1i1p1f1
BCC-CSM2-MR,r1i1p1f1
CAS-ESM2-0,r1i1p1f1
CAS-ESM2-0,r3i1p1f1
CESM2,r10i1p1f1
CESM2,r11i1p1f1
CESM2,r4i1p1f1
CESM2-FV2,r1i2p2f1
CESM2-WACCM,r1i1p1f1
CESM2-WACCM,r2i1p1f1
CESM2-WACCM,r3i1p1f1
CESM2-WACCM,r4i1p1f1
CESM2-WACCM,r5i1p1f1
CIESM,r1i1p1f1
CMCC-CM2-SR5,r1i1p1f1
CNRM-CM6-1,r1i1p1f2
CNRM-CM6-1,r2i1p1f2
CNRM-CM6-1,r3i1p1f2
CNRM-CM6-1,r4i1p1f2
CNRM-CM6-1,r5i1p1f2
CNRM-CM6-1,r6i1p1f2
CNRM-CM6-1-HR,r1i1p1f2
CNRM-ESM2-1,r1i1p1f2
CNRM-ESM2-1,r2i1p1f2
CNRM-ESM2-1,r3i1p1f2
CNRM-ESM2-1,r4i1p1f2
CNRM-ESM2-1,r5i1p1f2
CanESM5,r10i1p1f1
CanESM5,r10i1p2f1
CanESM5,r11i1p1f1
CanESM5,r11i1p2f1
CanESM5,r12i1p1f1
CanESM5,r12i1p2f1
CanESM5,r13i1p1f1
CanESM5,r13i1p2f1
CanESM5,r14i1p1f1
CanESM5,r14i1p2f1
CanESM5,r15i1p1f1
CanESM5,r15i1p2f1
CanESM5,r16i1p1f1
CanESM5,r16i1p2f1
CanESM5,r17i1p1f1
CanESM5,r17i1p2f1
CanESM5,r18i1p1f1
CanESM5,r18i1p2f1
CanESM5,r19i1p1f1
CanESM5,r19i1p2f1
CanESM5,r1i1p1f1
CanESM5,r1i1p2f1
CanESM5,r20i1p1f1
CanESM5,r20i1p2f1
CanESM5,r21i1p1f1
CanESM5,r21i1p2f1
CanESM5,r22i1p1f1
CanESM5,r22i1p2f1
CanESM5,r23i1p1f1
CanESM5,r23i1p2f1
CanESM5,r24i1p1f1
CanESM5,r24i1p2f1
CanESM5,r25i1p1f1
CanESM5,r25i1p2f1
CanESM5,r2i1p1f1
CanESM5,r2i1p2f1
CanESM5,r3i1p1f1
CanESM5,r3i1p2f1
CanESM5,r4i1p1f1
CanESM5,r4i1p2f1
CanESM5,r5i1p1f1
CanESM5,r5i1p2f1
CanESM5,r6i1p1f1
CanESM5,r6i1p2f1
CanESM5,r7i1p1f1
CanESM5,r7i1p2f1
CanESM5,r8i1p1f1
CanESM5,r8i1p2f1
CanESM5,r9i1p1f1
CanESM5,r9i1p2f1
CanESM5-CanOE,r1i1p2f1
CanESM5-CanOE,r2i1p2f1
CanESM5-CanOE,r3i1p2f1
EC-Earth3-Veg,r10i1p1f1
EC-Earth3-Veg,r13i1p1f1
EC-Earth3-Veg,r1i1p1f1
EC-Earth3-Veg,r2i1p1f1
EC-Earth3-Veg,r3i1p1f1
EC-Earth3-Veg,r4i1p1f1
EC-Earth3-Veg,r6i1p1f1
FGOALS-f3-L,r1i1p1f1
FGOALS-g3,r1i1p1f1
FGOALS-g3,r2i1p1f1
FGOALS-g3,r3i1p1f1
FGOALS-g3,r4i1p1f1
GFDL-CM4,r1i1p1f1
GFDL-ESM4,r1i1p1f1
GISS-E2-1-H,r1i1p1f2
GISS-E2-1-H,r1i1p3f1
GISS-E2-1-H,r2i1p1f2
GISS-E2-1-H,r2i1p3f1
GISS-E2-1-H,r3i1p1f2
GISS-E2-1-H,r3i1p3f1
GISS-E2-1-H,r4i1p1f2
GISS-E2-1-H,r4i1p3f1
GISS-E2-1-H,r5i1p1f2
GISS-E2-1-H,r5i1p3f1
GISS-E2-2-G,r1i1p3f1
GISS-E2-2-G,r2i1p3f1
GISS-E2-2-G,r3i1p3f1
GISS-E2-2-G,r4i1p3f1
HadGEM3-GC31-LL,r1i1p1f3
HadGEM3-GC31-LL,r2i1p1f3
HadGEM3-GC31-LL,r3i1p1f3
HadGEM3-GC31-LL,r4i1p1f3
HadGEM3-GC31-MM,r1i1p1f3
HadGEM3-GC31-MM,r2i1p1f3
HadGEM3-GC31-MM,r3i1p1f3
HadGEM3-GC31-MM,r4i1p1f3
INM-CM4-8,r1i1p1f1
INM-CM5-0,r1i1p1f1
IPSL-CM6A-LR,r14i1p1f1
IPSL-CM6A-LR,r1i1p1f1
IPSL-CM6A-LR,r2i1p1f1
IPSL-CM6A-LR,r33i1p1f1
IPSL-CM6A-LR,r3i1p1f1
IPSL-CM6A-LR,r4i1p1f1
IPSL-CM6A-LR,r6i1p1f1
KACE-1-0-G,r1i1p1f1
KACE-1-0-G,r2i1p1f1
KACE-1-0-G,r3i1p1f1
MCM-UA-1-0,r1i1p1f2
MIROC-ES2L,r10i1p1f2
MIROC-ES2L,r1i1p1f2
MIROC-ES2L,r2i1p1f2
MIROC-ES2L,r3i1p1f2
MIROC-ES2L,r4i1p1f2
MIROC-ES2L,r5i1p1f2
MIROC-ES2L,r6i1p1f2
MIROC-ES2L,r7i1p1f2
MIROC-ES2L,r8i1p1f2
MIROC-ES2L,r9i1p1f2
MIROC6,r10i1p1f1
MIROC6,r11i1p1f1
MIROC6,r12i1p1f1
MIROC6,r13i1p1f1
MIROC6,r14i1p1f1
MIROC6,r15i1p1f1
MIROC6,r16i1p1f1
MIROC6,r17i1p1f1
MIROC6,r18i1p1f1
MIROC6,r19i1p1f1
MIROC6,r1i1p1f1
MIROC6,r20i1p1f1
MIROC6,r21i1p1f1
MIROC6,r22i1p1f1
MIROC6,r23i1p1f1
MIROC6,r24i1p1f1
MIROC6,r25i1p1f1
MIROC6,r26i1p1f1
MIROC6,r27i1p1f1
MIROC6,r28i1p1f1
MIROC6,r29i1p1f1
MIROC6,r2i1p1f1
MIROC6,r30i1p1f1
MIROC6,r31i1p1f1
MIROC6,r32i1p1f1
MIROC6,r33i1p1f1
MIROC6,r34i1p1f1
MIROC6,r35i1p1f1
MIROC6,r36i1p1f1
MIROC6,r37i1p1f1
MIROC6,r38i1p1f1
MIROC6,r39i1p1f1
MIROC6,r3i1p1f1
MIROC6,r40i1p1f1
MIROC6,r41i1p1f1
MIROC6,r42i1p1f1
MIROC6,r43i1p1f1
MIROC6,r44i1p1f1
MIROC6,r45i1p1f1
MIROC6,r46i1p1f1
MIROC6,r47i1p1f1
MIROC6,r48i1p1f1
MIROC6,r49i1p1f1
MIROC6,r4i1p1f1
MIROC6,r50i1p1f1
MIROC6,r5i1p1f1
MIROC6,r6i1p1f1
MIROC6,r7i1p1f1
MIROC6,r8i1p1f1
MIROC6,r9i1p1f1
MPI-ESM1-2-HR,r1i1p1f1
MPI-ESM1-2-HR,r2i1p1f1
MPI-ESM1-2-LR,r10i1p1f1
MPI-ESM1-2-LR,r11i1p1f1
MPI-ESM1-2-LR,r12i1p1f1
MPI-ESM1-2-LR,r13i1p1f1
MPI-ESM1-2-LR,r14i1p1f1
MPI-ESM1-2-LR,r15i1p1f1
MPI-ESM1-2-LR,r16i1p1f1
MPI-ESM1-2-LR,r17i1p1f1
MPI-ESM1-2-LR,r18i1p1f1
MPI-ESM1-2-LR,r19i1p1f1
MPI-ESM1-2-LR,r1i1p1f1
MPI-ESM1-2-LR,r20i1p1f1
MPI-ESM1-2-LR,r21i1p1f1
MPI-ESM1-2-LR,r22i1p1f1
MPI-ESM1-2-LR,r23i1p1f1
MPI-ESM1-2-LR,r24i1p1f1
MPI-ESM1-2-LR,r25i1p1f1
MPI-ESM1-2-LR,r26i1p1f1
MPI-ESM1-2-LR,r27i1p1f1
MPI-ESM1-2-LR,r28i1p1f1
MPI-ESM1-2-LR,r29i1p1f1
MPI-ESM1-2-LR,r2i1p1f1
MPI-ESM1-2-LR,r30i1p1f1
MPI-ESM1-2-LR,r31i1p1f1
MPI-ESM1-2-LR,r32i1p1f1
MPI-ESM1-2-LR,r33i1p1f1
MPI-ESM1-2-LR,r34i1p1f1
MPI-ESM1-2-LR,r35i1p1f1
MPI-ESM1-2-LR,r36i1p1f1
MPI-ESM1-2-LR,r37i1p1f1
MPI-ESM1-2-LR,r38i1p1f1
MPI-ESM1-2-LR,r39i1p1f1
MPI-ESM1-2-LR,r3i1p1f1
MPI-ESM1-2-LR,r40i1p1f1
MPI-ESM1-2-LR,r41i1p1f1
MPI-ESM1-2-LR,r42i1p1f1
MPI-ESM1-2-LR,r43i1p1f1
MPI-ESM1-2-LR,r44i1p1f1
MPI-ESM1-2-LR,r45i1p1f1
MPI-ESM1-2-LR,r46i1p1f1
MPI-ESM1-2-LR,r47i1p1f1
MPI-ESM1-2-LR,r48i1p1f1
MPI-ESM1-2-LR,r49i1p1f1
MPI-ESM1-2-LR,r4i1p1f1
MPI-ESM1-2-LR,r50i1p1f1
MPI-ESM1-2-LR,r5i1p1f1
MPI-ESM1-2-LR,r6i1p1f1
MPI-ESM1-2-LR,r7i1p1f1
MPI-ESM1-2-LR,r8i1p1f1
MPI-ESM1-2-LR,r9i1p1f1
MRI-ESM2-0,r1i1p1f1
MRI-ESM2-0,r1i2p1f1
MRI-ESM2-0,r2i1p1f1
MRI-ESM2-0,r3i1p1f1
MRI-ESM2-0,r4i1p1f1
